R1,R2,R3
1.500000e+00,3.558100e+00,2.562500e+00
1.500000e+00,4.563800e+00,3.625000e+00
1.500000e+00,5.590500e+00,4.687500e+00
1.500000e+00,6.628500e+00,5.750000e+00
1.500000e+00,7.673300e+00,6.812500e+00
1.500000e+00,8.722300e+00,7.875000e+00
1.500000e+00,9.774200e+00,8.937500e+00
1.500000e+00,1.082800e+01,1.000000e+01
2.562500e+00,3.558100e+00,1.500000e+00
2.562500e+00,4.438400e+00,2.562500e+00
2.562500e+00,5.384800e+00,3.625000e+00
2.562500e+00,6.367900e+00,4.687500e+00
2.562500e+00,7.373100e+00,5.750000e+00
2.562500e+00,8.392500e+00,6.812500e+00
2.562500e+00,9.421300e+00,7.875000e+00
2.562500e+00,1.045700e+01,8.937500e+00
2.562500e+00,1.149700e+01,1.000000e+01
3.625000e+00,4.563800e+00,1.500000e+00
3.625000e+00,5.384800e+00,2.562500e+00
3.625000e+00,6.278700e+00,3.625000e+00
3.625000e+00,7.218400e+00,4.687500e+00
3.625000e+00,8.188200e+00,5.750000e+00
3.625000e+00,9.178600e+00,6.812500e+00
3.625000e+00,1.018300e+01,7.875000e+00
3.625000e+00,1.119900e+01,8.937500e+00
3.625000e+00,1.222300e+01,1.000000e+01
4.687500e+00,5.590500e+00,1.500000e+00
4.687500e+00,6.367900e+00,2.562500e+00
4.687500e+00,7.218400e+00,3.625000e+00
4.687500e+00,8.119000e+00,4.687500e+00
4.687500e+00,9.054700e+00,5.750000e+00
4.687500e+00,1.001600e+01,6.812500e+00
4.687500e+00,1.099600e+01,7.875000e+00
4.687500e+00,1.198900e+01,8.937500e+00
4.687500e+00,1.299400e+01,1.000000e+01
5.750000e+00,6.628500e+00,1.500000e+00
5.750000e+00,7.373100e+00,2.562500e+00
5.750000e+00,8.188200e+00,3.625000e+00
5.750000e+00,9.054700e+00,4.687500e+00
5.750000e+00,9.959300e+00,5.750000e+00
5.750000e+00,1.089200e+01,6.812500e+00
5.750000e+00,1.184700e+01,7.875000e+00
5.750000e+00,1.281900e+01,8.937500e+00
5.750000e+00,1.380400e+01,1.000000e+01
6.812500e+00,7.673300e+00,1.500000e+00
6.812500e+00,8.392500e+00,2.562500e+00
6.812500e+00,9.178600e+00,3.625000e+00
6.812500e+00,1.001600e+01,4.687500e+00
6.812500e+00,1.089200e+01,5.750000e+00
6.812500e+00,1.180000e+01,6.812500e+00
6.812500e+00,1.273100e+01,7.875000e+00
6.812500e+00,1.368100e+01,8.937500e+00
6.812500e+00,1.464700e+01,1.000000e+01
7.875000e+00,8.722300e+00,1.500000e+00
7.875000e+00,9.421300e+00,2.562500e+00
7.875000e+00,1.018300e+01,3.625000e+00
7.875000e+00,1.099600e+01,4.687500e+00
7.875000e+00,1.184700e+01,5.750000e+00
7.875000e+00,1.273100e+01,6.812500e+00
7.875000e+00,1.364000e+01,7.875000e+00
7.875000e+00,1.457000e+01,8.937500e+00
7.875000e+00,1.551700e+01,1.000000e+01
8.937500e+00,9.774200e+00,1.500000e+00
8.937500e+00,1.045700e+01,2.562500e+00
8.937500e+00,1.119900e+01,3.625000e+00
8.937500e+00,1.198900e+01,4.687500e+00
8.937500e+00,1.281900e+01,5.750000e+00
8.937500e+00,1.368100e+01,6.812500e+00
8.937500e+00,1.457000e+01,7.875000e+00
8.937500e+00,1.548000e+01,8.937500e+00
8.937500e+00,1.640900e+01,1.000000e+01
1.000000e+01,1.082800e+01,1.500000e+00
1.000000e+01,1.149700e+01,2.562500e+00
1.000000e+01,1.222300e+01,3.625000e+00
1.000000e+01,1.299400e+01,4.687500e+00
1.000000e+01,1.380400e+01,5.750000e+00
1.000000e+01,1.464700e+01,6.812500e+00
1.000000e+01,1.551700e+01,7.875000e+00
1.000000e+01,1.640900e+01,8.937500e+00
1.000000e+01,1.732100e+01,1.000000e+01
1.000000e+01,1.732100e+01,1.000000e+01
